1   0.15428   0.00001   0.15430	0.00544   0.00000   0.00544
2   0.18140   0.00004   0.18144	0.01414   0.00000   0.01414
3   0.19713   0.03179   0.22892	0.03044   0.03054   0.01080
4   0.24569   0.05979   0.30549	0.01795   0.02708   0.01163
